10,,,,,,,,,,,,
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,,
grubhub-12-0.tsp ,10,2,2,93.8574,14.3112,71.5852,2,1.88,36.5834,Optimal,,
grubhub-12-3.tsp ,10,2,2,80.3256,20.088,73.7012,2,3.85,26.7124,Optimal,,
grubhub-12-4.tsp ,10,2,1,81.42,10.9736,88.8076,1,0.22,3.586,Optimal,,
grubhub-12-5.tsp ,10,2,1,98.0868,6.5248,70.0028,2,0.49,34.6088,Optimal,,
grubhub-12-6.tsp ,10,2,1,94.5528,14.6256,58.3648,2,0.2,50.8136,Optimal,,
grubhub-12-7.tsp ,10,2,2,94.9176,35.2272,65.5868,3,1.65,64.558,Optimal,,
grubhub-12-8.tsp ,10,2,2,86.0826,28.0394,62.4588,3,0.94,51.6632,Optimal,,
grubhub-12-9.tsp ,10,2,2,96.696,26.0142,82.2112,2,2.23,40.499,Optimal,,
grubhub-13-0.tsp ,11,2,2,87.5556,18.8928,73.0664,3,1.06,33.382,Optimal,,
grubhub-13-1.tsp ,11,2,2,103.652,22.1796,87.952,2,2.5,37.88,Optimal,,
grubhub-13-2.tsp ,11,2,2,98.8416,24.5036,76.3968,3,1.99,46.9484,Optimal,,
grubhub-13-3.tsp ,11,2,2,99.2862,17.1332,80.8864,2,3.08,35.533,Optimal,,
grubhub-13-4.tsp ,11,2,2,98.2032,20.5362,72.45,2,4.54,46.2894,Optimal,,
grubhub-13-5.tsp ,11,2,2,104.291,23.657,77.28,3,2.06,50.6678,Optimal,,
grubhub-13-6.tsp ,11,2,2,95.7636,28.9856,90.804,3,5.44,33.9452,Optimal,,
grubhub-13-7.tsp ,11,2,2,106.48,16.4028,81.1992,3,22.51,41.6832,Optimal,,
grubhub-13-8.tsp ,11,2,2,103.367,15.357,79.5984,2,2.24,39.126,Optimal,,
30,,,,,,,,,,,,
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,,
grubhub-11-0.tsp ,8,3,2,92.8608,29.4172,72.8364,3,2.6,49.4416,Optimal,,
grubhub-11-1.tsp ,8,3,3,71.8848,34.9958,73.1768,1,3.78,33.7038,Optimal,,
grubhub-11-2.tsp ,8,3,3,81.1872,37.5688,94.5944,1,2.86,24.1616,Optimal,,
grubhub-11-3.tsp ,8,3,2,78.7362,25.8648,53.8752,4,1.5,50.7258,Optimal,,
grubhub-11-4.tsp ,8,3,3,71.3376,37.0376,76.314,2,13.76,32.0612,Optimal,,
grubhub-11-5.tsp ,8,3,3,83.1024,39.926,72.358,3,3.25,50.6704,Optimal,,
grubhub-11-6.tsp ,8,3,2,70.0152,22.827,66.9024,2,11.12,25.9398,Optimal,,
grubhub-11-7.tsp ,8,3,2,67.4502,18.1458,61.1064,1,2.9,24.4896,Optimal,,
grubhub-11-8.tsp ,8,3,1,75.852,8.5998,46.8648,2,18.58,37.587,Optimal,,
grubhub-11-9.tsp ,8,3,2,74.256,25.234,47.8492,2,2.76,51.6408,Optimal,,
grubhub-12-0.tsp ,9,3,3,81.5772,30.215,80.0492,2,54.21,31.743,Optimal,,
grubhub-12-1.tsp ,9,3,3,76.3446,36.2076,77.5928,3,3.37,34.9594,Optimal,,
grubhub-12-3.tsp ,9,3,3,70.4166,32.539,71.4012,2,43.25,31.5544,Optimal,,
grubhub-12-4.tsp ,9,3,2,70.1544,25.4,92.2024,1,1.44,3.352,Optimal,,
grubhub-12-5.tsp ,9,3,2,85.3506,23.0926,72.6432,2,2.83,35.8,Optimal,,
grubhub-12-6.tsp ,9,3,2,87.414,20.2872,60.8764,2,0.47,46.8248,Optimal,,
grubhub-12-7.tsp ,9,3,3,86.8668,44.9724,67.8224,3,5.75,64.0168,Optimal,,
grubhub-12-8.tsp ,9,3,3,73.8822,43.827,66.6632,3,3.03,51.046,Optimal,,
grubhub-12-9.tsp ,9,3,3,84.8832,41.2374,85.7164,2,14.31,40.4042,Optimal,,
grubhub-13-0.tsp ,9,4,2,71.8188,17.5648,55.844,1,3.62,33.5396,Optimal,,
grubhub-13-1.tsp ,9,4,4,82.968,48.3432,86.6456,2,79.34,44.6656,Optimal,,
grubhub-13-2.tsp ,9,4,4,82.0332,45.0232,75.2836,2,111.25,51.7728,Optimal,,
grubhub-13-3.tsp ,9,4,4,82.056,38.267,76.6176,2,24.22,43.7054,Optimal,,
grubhub-13-4.tsp ,9,4,4,84.051,37.188,71.392,2,55.01,49.847,Optimal,,
grubhub-13-5.tsp ,9,4,3,82.9566,37.4692,74.5292,2,34.83,45.8966,Optimal,,
grubhub-13-6.tsp ,9,4,4,76.8576,52.5596,87.446,3,9.62,41.9712,Optimal,,
grubhub-13-7.tsp ,9,4,4,88.6794,38.3666,81.4476,3,424.78,45.5984,Optimal,,
grubhub-13-8.tsp ,9,4,4,82.6488,41.5704,78.3656,2,48.55,45.8536,Optimal,,
40,,,,,,,,,,,,
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,,
grubhub-11-0.tsp ,7,4,3,81.2076,44.408,74.0508,2,20.76,51.5648,Optimal,,
grubhub-11-1.tsp ,7,4,3,57.9858,34.9958,50.232,1,6.69,42.7496,Optimal,,
grubhub-11-2.tsp ,7,4,4,69.363,52.8086,100.519,1,61.24,21.6524,Optimal,,
grubhub-11-3.tsp ,7,4,3,68.8386,38.2992,55.9728,4,5.29,51.165,Optimal,,
grubhub-11-4.tsp ,7,4,4,62.8308,47.4468,74.842,2,51.31,35.4356,Optimal,,
grubhub-11-5.tsp ,7,4,4,73.182,52.3936,89.9484,1,108.44,35.6272,Optimal,,
grubhub-11-6.tsp ,7,4,4,59.7984,44.7244,81.5488,1,20.53,22.974,Optimal,,
grubhub-11-7.tsp ,7,4,3,60.9156,25.6832,66.0284,1,26.71,20.5704,Optimal,,
grubhub-11-8.tsp ,7,4,3,63.4806,30.7462,49.8548,2,20.09,44.372,Optimal,,
grubhub-11-9.tsp ,7,4,3,63.2754,39.2454,47.1868,2,3.56,55.334,Optimal,,
grubhub-12-0.tsp ,7,5,3,64.8714,30.215,61.0328,2,225.93,34.0536,Optimal,,
grubhub-12-1.tsp ,7,5,4,64.4496,43.6122,72.772,3,5.91,35.2898,Optimal,,
grubhub-12-3.tsp ,7,5,4,58.9548,38.0512,68.8344,1,90.39,28.1716,Optimal,,
grubhub-12-4.tsp ,7,5,3,52.719,32.6054,79.8284,1,12.94,5.496,Optimal,,
grubhub-12-5.tsp ,7,5,4,66.6384,46.3844,70.2696,2,50.3,42.7532,Optimal,,
grubhub-12-6.tsp ,7,5,4,68.4054,44.0106,64.6852,2,7.7,47.7308,Optimal,,
grubhub-12-7.tsp ,7,5,4,72.3612,54.1864,60.1588,3,336.26,66.3888,Optimal,,
grubhub-12-8.tsp ,7,5,5,55.0104,67.3512,77.1788,2,6.65,45.1828,Optimal,,
grubhub-12-9.tsp ,7,5,5,68.8158,60.678,83.904,2,84.64,45.5898,Optimal,,
grubhub-13-0.tsp ,8,5,5,65.364,45.2732,75.8172,1,28.82,34.82,Optimal,,
grubhub-13-1.tsp ,8,5,5,72.147,62.1222,81.2452,2,44.21,53.024,Optimal,,
grubhub-13-2.tsp ,8,5,5,71.8278,57.9058,73.5724,2,4.9,56.1612,Optimal,,
grubhub-13-3.tsp ,8,5,5,72.2838,50.5188,72.8456,2,49.31,49.957,Optimal,,
grubhub-13-4.tsp ,8,5,5,74.8374,48.6264,76.3324,1,24.48,47.1314,Optimal,,
grubhub-13-5.tsp ,8,5,4,70.1976,54.0702,75.2744,2,179.4,48.9934,Optimal,,
grubhub-13-6.tsp ,8,5,5,65.5806,67.0026,89.4516,3,13.17,43.1316,Optimal,,
grubhub-13-7.tsp ,8,5,5,80.184,48.7592,82.7448,2,1295.54,46.1984,Optimal,,
grubhub-13-8.tsp ,8,5,5,74.1534,51.963,86.2316,1,45.39,39.8848,Optimal,,
10,,,,,,,,,,,,
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,,
grubhub-11-0.tsp ,10,1,0,115.78,0,69.8372,3,1.21,45.9424,Optimal,,
grubhub-11-1.tsp ,10,1,1,90.8934,11.2724,62.9004,2,0.29,39.2654,Optimal,,
grubhub-11-2.tsp ,10,1,1,99.2952,15.1568,71.1988,2,0.11,43.2532,Optimal,,
grubhub-11-3.tsp ,10,1,1,96.5022,12.5672,58.4568,4,0.62,50.6126,Optimal,,
grubhub-11-4.tsp ,10,1,1,89.913,13.945,69.9016,2,0.53,33.9564,Optimal,,
grubhub-11-5.tsp ,10,1,1,105.953,10.6084,68.3008,3,1.06,48.2604,Optimal,,
grubhub-11-6.tsp ,10,1,1,88.5906,8.7326,62.4864,3,0.5,34.8368,Optimal,,
grubhub-11-7.tsp ,10,1,1,79.5162,11.455,61.9804,2,0.15,28.9908,Optimal,,
grubhub-11-8.tsp ,10,1,0,88.6704,0,55.1264,2,0.25,33.544,Optimal,,
grubhub-11-9.tsp ,10,1,0,94.302,0,46.4876,3,0.02,47.8144,Optimal,,
grubhub-12-0.tsp ,11,1,1,100.449,6.6908,71.8244,3,0.68,35.3154,Optimal,,
grubhub-12-3.tsp ,11,1,1,91.272,6.1264,81.0428,2,1.01,16.3556,Optimal,,
grubhub-12-4.tsp ,11,1,0,90.3144,0,84.042,1,0.01,6.2724,Optimal,,
grubhub-12-5.tsp ,11,1,0,103.926,0,68.7148,2,0.02,35.2112,Optimal,,
grubhub-12-6.tsp ,11,1,1,105.955,5.6616,64.1516,2,0.02,47.4652,Optimal,,
grubhub-12-7.tsp ,11,1,1,115.007,7.9524,59.4412,3,0.18,63.518,Optimal,,
grubhub-12-8.tsp ,11,1,1,98.5338,11.8866,58.466,3,0.08,51.9544,Optimal,,
grubhub-12-9.tsp ,11,1,1,108.418,10.9238,82.708,2,0.02,36.6334,Optimal,,
grubhub-13-0.tsp ,12,1,1,95.994,8.5832,69.7452,3,0.15,34.832,Optimal,,
grubhub-13-1.tsp ,12,1,1,111.008,13.447,84.8148,3,0.67,39.64,Optimal,,
grubhub-13-2.tsp ,12,1,1,108.055,13.0652,76.452,3,1.16,44.6684,Optimal,,
grubhub-13-3.tsp ,12,1,1,107.28,7.471,72.772,2,0.34,41.979,Optimal,,
grubhub-13-4.tsp ,12,1,1,106.55,10.3594,69.8372,2,0.87,47.0726,Optimal,,
grubhub-13-5.tsp ,12,1,1,110.244,16.9662,79.948,3,1.48,47.2622,Optimal,,
grubhub-13-6.tsp ,12,1,1,106.699,15.0406,87.2712,3,0.7,34.468,Optimal,,
grubhub-13-7.tsp ,12,1,1,113.675,7.9026,79.81,3,2.85,41.768,Optimal,,
grubhub-13-8.tsp ,12,1,1,109.879,7.8528,78.3288,2,0.44,39.4032,Optimal,,
20,,,,,,,,,,,,
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,,
grubhub-11-0.tsp ,9,2,1,102.656,17.1322,66.4516,3,2.79,53.3364,Optimal,,
grubhub-11-1.tsp ,9,2,2,84.564,18.511,62.7256,2,2.24,40.3494,Optimal,,
grubhub-11-2.tsp ,9,2,2,87.4824,30.38,74.1336,2,0.78,43.7288,Optimal,,
grubhub-11-3.tsp ,9,2,2,86.0118,25.8648,61.41,4,1.66,50.4666,Optimal,,
grubhub-11-4.tsp ,9,2,2,82.8312,22.2792,72.772,2,2.55,32.3384,Optimal,,
grubhub-11-5.tsp ,9,2,2,94.2426,25.6822,69.9568,3,1.48,49.968,Optimal,,
grubhub-11-6.tsp ,9,2,2,81.0528,17.7308,71.4196,2,4.01,27.364,Optimal,,
grubhub-11-7.tsp ,9,2,2,73.563,18.1458,63.2408,1,0.18,28.468,Optimal,,
grubhub-11-8.tsp ,9,2,1,83.1162,6.1098,51.5384,2,1.76,37.6876,Optimal,,
grubhub-11-9.tsp ,9,2,2,84.4386,24.2048,59.0916,3,0.53,49.5518,Optimal,,
grubhub-12-0.tsp ,10,2,2,93.8574,14.3112,71.208,2,1.82,36.9606,Optimal,,
grubhub-12-3.tsp ,10,2,2,80.3256,20.088,73.7012,2,3.96,26.7124,Optimal,,
grubhub-12-4.tsp ,10,2,1,81.42,10.9736,88.8076,1,0.21,3.586,Optimal,,
grubhub-12-5.tsp ,10,2,1,98.0868,6.5248,70.0028,2,0.75,34.6088,Optimal,,
grubhub-12-6.tsp ,10,2,2,94.5528,20.2872,60.1956,2,0.03,54.6444,Optimal,,
grubhub-12-7.tsp ,10,2,2,94.9176,35.2272,65.5868,3,1.85,64.558,Optimal,,
grubhub-12-8.tsp ,10,2,2,86.0826,28.0394,62.4588,3,0.72,51.6632,Optimal,,
grubhub-12-9.tsp ,10,2,2,96.696,26.0142,75.3112,2,0.77,47.399,Optimal,,
grubhub-13-0.tsp ,11,2,2,87.5556,18.8928,72.6064,3,1.15,33.842,Optimal,,
grubhub-13-1.tsp ,11,2,2,103.652,22.1796,87.952,2,3.52,37.88,Optimal,,
grubhub-13-2.tsp ,11,2,2,98.8416,24.5036,76.0932,3,2.51,47.252,Optimal,,
grubhub-13-3.tsp ,11,2,2,99.2862,17.1332,76.1484,2,2.5,40.271,Optimal,,
grubhub-13-4.tsp ,11,2,2,98.2032,20.5362,72.0452,2,3.59,46.6942,Optimal,,
grubhub-13-5.tsp ,11,2,2,104.291,23.657,76.2864,3,2.5,51.6614,Optimal,,
grubhub-13-6.tsp ,11,2,2,95.7636,28.9856,85.4312,3,3.31,39.318,Optimal,,
grubhub-13-7.tsp ,11,2,2,106.48,16.4028,80.5736,3,27.75,42.3088,Optimal,,
grubhub-13-8.tsp ,11,2,2,103.367,15.357,79.5984,2,2.89,39.126,Optimal,,
30,,,,,,,,,,,,
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,,
grubhub-11-0.tsp ,8,3,2,92.8608,29.4172,71.6128,3,2.06,50.6652,Optimal,,
grubhub-11-1.tsp ,8,3,3,71.8848,34.9958,72.0728,1,4.88,34.8078,Optimal,,
grubhub-11-2.tsp ,8,3,3,81.1872,37.5688,94.5944,1,3.71,24.1616,Optimal,,
grubhub-11-3.tsp ,8,3,2,78.7362,25.8648,53.8752,4,2.05,50.7258,Optimal,,
grubhub-11-4.tsp ,8,3,3,71.3376,37.0376,73.0112,2,5.92,35.364,Optimal,,
grubhub-11-5.tsp ,8,3,3,83.1024,39.926,72.358,3,2.25,50.6704,Optimal,,
grubhub-11-6.tsp ,8,3,3,70.0152,31.8252,75.6884,2,11.82,26.152,Optimal,,
grubhub-11-7.tsp ,8,3,2,67.4502,18.1458,56.1936,1,1.43,29.4024,Optimal,,
grubhub-11-8.tsp ,8,3,2,75.852,14.7096,49.542,2,2.97,41.0196,Optimal,,
grubhub-11-9.tsp ,8,3,3,74.256,37.0542,58.052,2,2.72,53.2582,Optimal,,
grubhub-12-0.tsp ,9,3,3,81.5772,30.215,76.5624,2,23.74,35.2298,Optimal,,
grubhub-12-1.tsp ,9,3,3,76.3446,36.2076,76.5716,3,4.11,35.9806,Optimal,,
grubhub-12-3.tsp ,9,3,3,70.4166,32.539,71.4012,2,20.07,31.5544,Optimal,,
grubhub-12-4.tsp ,9,3,2,70.1544,25.4,92.2024,1,1.23,3.352,Optimal,,
grubhub-12-5.tsp ,9,3,2,85.3506,23.0926,69.2944,2,2.74,39.1488,Optimal,,
grubhub-12-6.tsp ,9,3,2,87.414,20.2872,57.3528,2,0.28,50.3484,Optimal,,
grubhub-12-7.tsp ,9,3,3,86.8668,44.9724,67.8224,3,8.49,64.0168,Optimal,,
grubhub-12-8.tsp ,9,3,3,73.8822,43.827,66.6632,3,3.51,51.046,Optimal,,
grubhub-12-9.tsp ,9,3,3,84.8832,41.2374,81.8984,2,5.98,44.2222,Optimal,,
grubhub-13-0.tsp ,9,4,3,71.8188,27.8744,59.9656,1,2,39.7276,Optimal,,
grubhub-13-1.tsp ,9,4,4,82.968,48.3432,86.6456,2,86.93,44.6656,Optimal,,
grubhub-13-2.tsp ,9,4,4,82.0332,45.0232,74.7408,2,40.33,52.3156,Optimal,,
grubhub-13-3.tsp ,9,4,4,82.056,38.267,76.6176,2,55.45,43.7054,Optimal,,
grubhub-13-4.tsp ,9,4,4,84.051,37.188,70.6468,2,39.52,50.5922,Optimal,,
grubhub-13-5.tsp ,9,4,3,82.9566,37.4692,74.5292,2,30.6,45.8966,Optimal,,
grubhub-13-6.tsp ,9,4,4,76.8576,52.5596,85.7348,3,6.22,43.6824,Optimal,,
grubhub-13-7.tsp ,9,4,4,88.6794,38.3666,80.1688,3,442.51,46.8772,Optimal,,
grubhub-13-8.tsp ,9,4,4,82.6488,41.5704,78.3656,2,38.97,45.8536,Optimal,,
40,,,,,,,,,,,,
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,,
grubhub-11-0.tsp ,7,4,3,81.2076,44.408,74.0508,2,25.17,51.5648,Optimal,,
grubhub-11-1.tsp ,7,4,3,57.9858,34.9958,49.2384,1,7.94,43.7432,Optimal,,
grubhub-11-2.tsp ,7,4,4,69.363,52.8086,97.3268,1,47.66,24.8448,Optimal,,
grubhub-11-3.tsp ,7,4,3,68.8386,38.2992,55.9728,4,4.68,51.165,Optimal,,
grubhub-11-4.tsp ,7,4,4,62.8308,47.4468,70.7388,2,31.92,39.5388,Optimal,,
grubhub-11-5.tsp ,7,4,4,73.182,52.3936,83.6372,1,24.94,41.9384,Optimal,,
grubhub-11-6.tsp ,7,4,4,59.7984,44.7244,81.5488,1,27.76,22.974,Optimal,,
grubhub-11-7.tsp ,7,4,3,60.9156,25.6832,56.764,1,2.71,29.8348,Optimal,,
grubhub-11-8.tsp ,7,4,3,63.4806,30.7462,49.6708,2,19.31,44.556,Optimal,,
grubhub-11-9.tsp ,7,4,3,63.2754,39.2454,47.1868,2,7.69,55.334,Optimal,,
grubhub-12-0.tsp ,7,5,4,64.8714,40.5412,71.162,2,112.71,34.2506,Optimal,,
grubhub-12-1.tsp ,7,5,4,64.4496,43.6122,72.772,3,6.3,35.2898,Optimal,,
grubhub-12-3.tsp ,7,5,4,58.9548,38.0512,68.0248,1,89.19,28.9812,Optimal,,
grubhub-12-4.tsp ,7,5,5,52.719,54.287,101.08,1,6.58,5.9256,Optimal,,
grubhub-12-5.tsp ,7,5,4,66.6384,46.3844,70.2696,2,37.13,42.7532,Optimal,,
grubhub-12-6.tsp ,7,5,4,68.4054,44.0106,60.306,2,5.52,52.11,Optimal,,
grubhub-12-7.tsp ,7,5,4,72.3612,54.1864,60.1588,3,335.73,66.3888,Optimal,,
grubhub-12-8.tsp ,7,5,5,55.0104,67.3512,77.1788,2,15.49,45.1828,Optimal,,
grubhub-12-9.tsp ,7,5,5,68.8158,60.678,83.904,2,96.7,45.5898,Optimal,,
grubhub-13-0.tsp ,8,5,4,65.364,35.2956,63.8296,1,15.11,36.83,Optimal,,
grubhub-13-1.tsp ,8,5,5,72.147,62.1222,81.2452,2,120.98,53.024,Optimal,,
grubhub-13-2.tsp ,8,5,5,71.8278,57.9058,73.416,2,8.98,56.3176,Optimal,,
grubhub-13-3.tsp ,8,5,5,72.2838,50.5188,72.8456,2,80.88,49.957,Optimal,,
grubhub-13-4.tsp ,8,5,5,74.8374,48.6264,68.1352,1,12.54,55.3286,Optimal,,
grubhub-13-5.tsp ,8,5,4,70.1976,54.0702,73.9312,2,75.29,50.3366,Optimal,,
grubhub-13-6.tsp ,8,5,5,65.5806,67.0026,85.5416,3,23.26,47.0416,Optimal,,
grubhub-13-7.tsp ,8,5,5,80.184,48.7592,82.7448,2,1580.56,46.1984,Optimal,,
grubhub-13-8.tsp ,8,5,4,74.1534,44.1102,76.6728,1,21.69,41.5908,Optimal,,
