Instance,feature_V,feature_avgReqPerVehicle,feature_avgReqTripLen,feature_stdReqTripLen,feature_percLoReqTripLen,feature_percHiReqTripLen,feature_avgPassTripLen,feature_stdPassTripLen,feature_avgParcTripLen,feature_stdParcTripLen,feature_avgPassToParcTrip,feature_stdPassToParcTrip,feature_avgPassToPassTrip,feature_stdPassToPassTrip,feature_avgDepotToPassDist,feature_stdDepotToPassDist,feature_avgDepotToParcDist,feature_stdDepotToParcDist,feature_avgDepotToReqDist,feature_stdDepotToReqDist,feature_avgTWLength,feature_TWEntropy,algo_standardMIP,algo_FIP,algo_BCP
sarp-40-20-A-1,60,6.66667,1.83667,1.284,0.6,0.4,1.5825,0.76938,2.345,1.83697,12.62141,6.08061,12.65455,5.81975,12.25,5.93723,12.865,5.99813,12.455,5.96465,55.23333,0.89298,0,90.947,0
sarp-40-20-A-1V1,60,6.66667,1.83667,1.284,0.6,0.4,1.5825,0.76938,2.345,1.83697,12.62141,6.08061,12.65455,5.81975,12.25,5.93723,12.865,5.99813,12.455,5.96465,20.0,0.89298,94.964,88.864,94.964
sarp-40-20-A-1V2,60,4.0,3.615,2.15483,0.63333,0.36667,3.55,2.32142,3.745,1.76818,26.56823,12.72499,26.61719,12.344,26.67125,12.13884,24.3315,11.96809,25.89133,12.13243,59.15,0.90311,64.719,61.545,0
sarp-40-20-A-1V3,60,4.0,3.615,2.15483,0.63333,0.36667,3.55,2.32142,3.745,1.76818,26.56823,12.72499,26.61719,12.344,26.67125,12.13884,24.3315,11.96809,25.89133,12.13243,20.0,0.90311,56.786,52.094,56.786
sarp-40-20-A-2,60,6.66667,1.91667,1.19557,0.58333,0.41667,1.4325,0.74645,2.885,1.32939,12.62493,5.83116,13.21223,6.42693,11.59083,5.4037,12.68833,6.05163,11.95667,5.6517,52.15833,0.87902,0,84.727,0
sarp-40-20-A-2V1,60,6.66667,1.91667,1.19557,0.58333,0.41667,1.4325,0.74645,2.885,1.32939,12.62493,5.83116,13.21223,6.42693,11.59083,5.4037,12.68833,6.05163,11.95667,5.6517,20.0,0.87902,88.265,81.575,88.265
sarp-40-20-A-2V2,60,4.0,3.32,2.08916,0.58333,0.41667,2.76,1.33768,4.44,2.76286,26.10333,12.15366,24.88667,12.19854,27.98375,13.53903,26.4825,12.31762,27.48333,13.16355,60.34167,0.8829,82.707,76.468,0
sarp-40-20-A-2V3,60,4.0,3.32,2.08916,0.58333,0.41667,2.76,1.33768,4.44,2.76286,26.10333,12.15366,24.88667,12.19854,27.98375,13.53903,26.4825,12.31762,27.48333,13.16355,20.0,0.8829,83.214,74.406,83.214
sarp-40-20-B-1,60,6.66667,2.96667,1.47034,0.66667,0.33333,2.525,1.00915,3.85,1.81066,12.99728,6.18139,11.93469,5.95031,13.98042,6.53636,13.59833,6.43007,13.85306,6.50362,68.06667,0.89619,102.91,132.062,0
sarp-40-20-B-1V1,60,6.66667,2.96667,1.47034,0.66667,0.33333,2.525,1.00915,3.85,1.81066,12.99728,6.18139,11.93469,5.95031,13.98042,6.53636,13.59833,6.43007,13.85306,6.50362,20.0,0.89619,129.497,120.152,129.773
sarp-40-20-B-1V2,60,3.33333,4.82833,2.71693,0.53333,0.46667,4.34,2.27143,5.805,3.2242,26.88619,13.3837,25.10504,11.56274,27.08687,12.7824,23.54375,11.54421,25.90583,12.49557,60.79167,0.87792,132.5,131.102,0
sarp-40-20-B-1V3,60,3.33333,4.82833,2.71693,0.53333,0.46667,4.34,2.27143,5.805,3.2242,26.88619,13.3837,25.10504,11.56274,27.08687,12.7824,23.54375,11.54421,25.90583,12.49557,20.0,0.87792,127.354,126.848,127.354
sarp-40-20-B-2,60,6.66667,2.55833,1.30898,0.53333,0.46667,2.0875,0.91192,3.5,1.46526,12.22183,5.79471,13.48371,5.92718,11.43333,5.51888,12.05417,5.75291,11.64028,5.60562,54.575,0.87726,97.088,116.983,0
sarp-40-20-B-2V1,60,6.66667,2.55833,1.30898,0.53333,0.46667,2.0875,0.91192,3.5,1.46526,12.22183,5.79471,13.48371,5.92718,11.43333,5.51888,12.05417,5.75291,11.64028,5.60562,20.0,0.87726,120.67,111.555,120.67
sarp-40-20-B-2V2,60,4.0,6.045,4.36144,0.65,0.35,4.605,2.28473,8.925,5.84678,26.80688,12.60747,26.95216,12.77379,24.93975,11.62006,25.33,11.40057,25.06983,11.54883,52.29167,0.88193,95.775,134.485,0
sarp-40-20-B-2V3,60,4.0,6.045,4.36144,0.65,0.35,4.605,2.28473,8.925,5.84678,26.80688,12.60747,26.95216,12.77379,24.93975,11.62006,25.33,11.40057,25.06983,11.54883,20.0,0.88193,120.044,113.072,128.739
sarp-40-20-C-1,60,6.66667,12.62,5.46302,0.53333,0.46667,11.7225,5.48418,14.415,4.95462,12.62687,6.13806,11.66265,5.54638,12.74542,6.3463,12.0975,5.99503,12.52944,6.23889,49.71667,0.92519,0,464.642,0
sarp-40-20-C-1V1,60,6.66667,12.62,5.46302,0.53333,0.46667,11.7225,5.48418,14.415,4.95462,12.62687,6.13806,11.66265,5.54638,12.74542,6.3463,12.0975,5.99503,12.52944,6.23889,20.0,0.92519,415.747,419.654,456.592
sarp-40-20-C-1V2,60,3.33333,23.36667,11.4115,0.55,0.45,24.0525,11.61314,21.995,10.86805,24.44687,11.06511,21.04571,10.32343,28.60583,13.17122,26.17292,12.72777,27.79486,13.07547,62.725,0.89273,666.526,718.138,0
sarp-40-20-C-1V3,60,3.33333,23.36667,11.4115,0.55,0.45,24.0525,11.61314,21.995,10.86805,24.44687,11.06511,21.04571,10.32343,28.60583,13.17122,26.17292,12.72777,27.79486,13.07547,20.0,0.89273,665.344,591.731,703.36
sarp-40-20-C-2,60,5.0,12.80667,6.33472,0.5,0.5,12.64,6.37843,13.14,6.23301,13.09445,6.32769,12.81551,6.05102,12.24625,5.88697,12.565,5.60519,12.3525,5.79651,61.675,0.89927,448.522,483.072,0
sarp-40-20-C-2V1,60,5.0,12.80667,6.33472,0.5,0.5,12.64,6.37843,13.14,6.23301,13.09445,6.32769,12.81551,6.05102,12.24625,5.88697,12.565,5.60519,12.3525,5.79651,20.0,0.89927,438.517,423.884,473.228
sarp-40-20-C-2V2,60,4.0,25.315,12.39365,0.51667,0.48333,22.445,10.96902,31.055,13.06704,25.80729,12.92624,25.42,11.65609,27.743,13.01508,29.2735,12.67127,28.25317,12.92165,60.05833,0.91649,0,731.169,0
sarp-40-20-C-2V3,60,4.0,25.315,12.39365,0.51667,0.48333,22.445,10.96902,31.055,13.06704,25.80729,12.92624,25.42,11.65609,27.743,13.01508,29.2735,12.67127,28.25317,12.92165,20.0,0.91649,593.665,545.238,638.633
sarp-50-25-A-1,75,6.25,1.74933,1.47886,0.68,0.32,1.208,0.72879,2.832,1.93406,12.50878,6.04214,13.73209,6.56937,14.4085,6.4463,14.8515,7.23207,14.55617,6.72169,61.63333,0.907,0,121.941,0
sarp-50-25-A-1V1,75,6.25,1.74933,1.47886,0.68,0.32,1.208,0.72879,2.832,1.93406,12.50878,6.04214,13.73209,6.56937,14.4085,6.4463,14.8515,7.23207,14.55617,6.72169,20.0,0.907,105.544,112.157,119.482
sarp-50-25-A-1V2,75,4.16667,2.98267,1.99161,0.54667,0.45333,2.472,1.54221,4.004,2.36178,25.65117,12.26201,27.42595,12.783,24.20333,11.6523,25.993,12.33457,24.79989,11.91399,55.05333,0.91054,81.788,119.911,0
sarp-50-25-A-1V3,75,4.16667,2.98267,1.99161,0.54667,0.45333,2.472,1.54221,4.004,2.36178,25.65117,12.26201,27.42595,12.783,24.20333,11.6523,25.993,12.33457,24.79989,11.91399,20.0,0.91054,124.509,117.979,124.509
sarp-50-25-A-2,75,6.25,1.79733,1.14111,0.58667,0.41333,1.462,0.91343,2.468,1.25019,13.73092,6.41591,12.96567,6.20691,14.5315,6.58588,13.3485,6.16247,14.13717,6.4719,63.74,0.9126,34.959,138.532,0
sarp-50-25-A-2V1,75,6.25,1.79733,1.14111,0.58667,0.41333,1.462,0.91343,2.468,1.25019,13.73092,6.41591,12.96567,6.20691,14.5315,6.58588,13.3485,6.16247,14.13717,6.4719,20.0,0.9126,134.367,131.302,0
sarp-50-25-A-2V2,75,4.16667,3.4,2.41639,0.62667,0.36,2.572,1.29631,5.056,3.16898,25.62283,12.24787,24.32281,11.6047,25.28317,11.11876,24.229,12.14593,24.93178,11.48213,64.14667,0.91645,61.04,92.667,0
sarp-50-25-A-2V3,75,4.16667,3.4,2.41639,0.62667,0.36,2.572,1.29631,5.056,3.16898,25.62283,12.24787,24.32281,11.6047,25.28317,11.11876,24.229,12.14593,24.93178,11.48213,20.0,0.91645,106.48,86.181,106.48
sarp-50-25-B-1,75,6.25,2.60533,1.35212,0.54667,0.45333,2.24,1.02703,3.336,1.60446,12.39679,6.01766,12.3273,6.15257,13.223,6.00024,13.426,6.63725,13.29067,6.22056,59.54667,0.90371,137.279,186.675,0
sarp-50-25-B-1V1,75,6.25,2.60533,1.35212,0.54667,0.45333,2.24,1.02703,3.336,1.60446,12.39679,6.01766,12.3273,6.15257,13.223,6.00024,13.426,6.63725,13.29067,6.22056,20.0,0.90371,174.892,171.907,182.305
sarp-50-25-B-1V2,75,4.16667,5.03333,3.09409,0.68,0.32,4.188,1.95219,6.724,4.10008,25.64559,12.45205,26.62333,13.24139,26.7435,12.81905,27.16667,12.9297,26.88456,12.85759,64.79333,0.90697,43.188,174.569,0
sarp-50-25-B-1V3,75,4.16667,5.03333,3.09409,0.68,0.32,4.188,1.95219,6.724,4.10008,25.64559,12.45205,26.62333,13.24139,26.7435,12.81905,27.16667,12.9297,26.88456,12.85759,20.0,0.90697,167.685,150.976,168.053
sarp-50-25-B-2,75,6.25,2.45467,1.45293,0.56,0.44,1.994,1.09589,3.376,1.63028,13.66801,6.34668,12.20825,5.70119,14.50575,6.79653,14.0525,6.12249,14.35467,6.58299,60.29333,0.92451,85.758,176.159,0
sarp-50-25-B-2V1,75,6.25,2.45467,1.45293,0.56,0.44,1.994,1.09589,3.376,1.63028,13.66801,6.34668,12.20825,5.70119,14.50575,6.79653,14.0525,6.12249,14.35467,6.58299,20.0,0.92451,157.39,163.258,0
sarp-50-25-B-2V2,75,4.16667,5.184,3.12756,0.56,0.44,4.128,1.90305,7.296,3.92566,26.64177,12.74344,24.38147,11.33113,24.7225,11.74313,21.748,10.36284,23.731,11.38843,58.02,0.91528,0,179.828,0
sarp-50-25-B-2V3,75,4.16667,5.184,3.12756,0.56,0.44,4.128,1.90305,7.296,3.92566,26.64177,12.74344,24.38147,11.33113,24.7225,11.74313,21.748,10.36284,23.731,11.38843,20.0,0.91528,166.564,148.085,172.219
sarp-50-25-C-1,75,5.55556,13.144,6.01935,0.50667,0.49333,13.414,6.12905,12.604,5.75587,12.95322,5.96579,13.71397,6.59316,13.04333,6.92438,14.31022,6.94149,13.46563,6.95577,60.57333,0.89687,0,635.868,0
sarp-50-25-C-1V1,75,5.55556,13.144,6.01935,0.50667,0.49333,13.414,6.12905,12.604,5.75587,12.95322,5.96579,13.71397,6.59316,13.04333,6.92438,14.31022,6.94149,13.46563,6.95577,20.0,0.89687,506.222,572.526,0
sarp-50-25-C-1V2,75,3.125,26.48133,12.26553,0.48,0.52,25.574,12.75272,28.296,11.00573,24.20308,11.78834,25.44515,12.53214,27.6085,13.33285,28.4245,12.95305,27.8805,13.21306,54.78667,0.90507,682.091,1124.73,0
sarp-50-25-C-1V3,75,3.125,26.48133,12.26553,0.48,0.52,25.574,12.75272,28.296,11.00573,24.20308,11.78834,25.44515,12.53214,27.6085,13.33285,28.4245,12.95305,27.8805,13.21306,20.0,0.90507,1014.01,941.136,1058.993
sarp-50-25-C-2,75,5.0,13.72267,5.49197,0.52,0.48,13.844,5.84685,13.48,4.69314,13.25713,6.38842,13.03548,6.11995,13.711,6.39509,12.9872,6.30241,13.46973,6.37348,56.49333,0.90444,526.747,650.441,0
sarp-50-25-C-2V1,75,5.0,13.72267,5.49197,0.52,0.48,13.844,5.84685,13.48,4.69314,13.25713,6.38842,13.03548,6.11995,13.711,6.39509,12.9872,6.30241,13.46973,6.37348,20.0,0.90444,580.175,604.593,0
sarp-50-25-C-2V2,75,3.125,25.64667,12.33503,0.49333,0.50667,26.83,12.0495,23.28,12.55691,27.10789,13.38746,24.37185,11.95327,26.765,12.88995,22.444,10.47411,25.32467,12.30793,65.06,0.90337,699.285,1056.44,0
sarp-50-25-C-2V3,75,3.125,25.64667,12.33503,0.49333,0.50667,26.83,12.0495,23.28,12.55691,27.10789,13.38746,24.37185,11.95327,26.765,12.88995,22.444,10.47411,25.32467,12.30793,20.0,0.90337,992.99,936.793,1031.141
sarp-6-3-A-1,9,2.0,6.51111,4.33985,0.77778,0.22222,5.4,2.70986,8.73333,5.86591,11.94286,5.17821,16.1625,5.77493,12.53333,5.0939,14.45556,6.68267,13.17407,5.74505,40.16667,0.63739,28.05,28.05,28.05
sarp-6-3-A-2,9,2.0,5.11111,3.3161,0.66667,0.33333,3.76667,1.56489,7.8,4.15291,8.64167,3.39619,10.63333,3.01754,11.25556,5.12469,11.3,7.19475,11.27037,5.89606,43.55556,0.559,34.128,34.128,34.128
sarp-6-3-B-1,9,2.0,10.45556,4.42772,0.44444,0.55556,8.51667,4.02882,14.33333,1.94822,9.10714,4.36241,10.2,5.12478,16.23333,6.67,9.67778,4.46661,14.04815,6.77197,51.16667,0.62951,49.237,49.237,49.237
sarp-6-3-B-2,9,2.0,7.7,4.59154,0.55556,0.44444,5.65,2.89871,11.8,4.60724,10.17143,4.3763,11.4,6.59242,10.29444,5.03217,12.46667,5.15967,11.01852,5.1773,61.38889,0.57476,41.635,37.347,41.635
sarp-6-3-C-1,9,2.0,10.96667,7.07107,0.44444,0.55556,10.1,6.23431,12.7,8.23165,11.14286,4.95461,13.16,5.71615,10.58333,5.49032,11.56667,3.07137,10.91111,4.84304,68.38889,0.61651,50.631,48.791,50.631
sarp-6-3-C-2,9,2.0,13.74444,5.6372,0.44444,0.55556,11.36667,5.41869,18.5,1.63911,11.15714,5.85207,12.31,5.34686,13.13889,5.13638,16.68889,5.04743,14.32222,5.3741,62.83333,0.65827,72.487,65.495,72.487
sarp-60-30-A-1V3,90,3.33333,2.83556,1.95547,0.56667,0.43333,2.41833,1.46578,3.67,2.4759,24.78376,11.92237,26.17525,12.50271,23.92213,11.53885,24.90296,11.85398,24.24907,11.65401,20.0,0.92341,178.143,163.371,244.889
sarp-60-30-A-2V3,90,3.33333,3.02,2.0276,0.54444,0.45556,2.50333,1.46549,4.05333,2.53702,24.89796,11.93539,24.32603,11.6064,24.69741,11.96021,26.3113,12.46941,25.23537,12.15615,20.0,0.91447,179.911,167.364,249.003
sarp-60-30-B-1V3,90,3.33333,4.51667,2.47652,0.61111,0.38889,3.77833,1.73658,5.99333,3.01617,24.62055,11.80577,25.41988,12.55348,25.73741,12.24495,27.66537,12.60282,26.38006,12.39875,20.0,0.91147,242.361,236.971,352.025
sarp-60-30-B-2V3,90,3.33333,3.93111,2.10479,0.56667,0.43333,3.75833,1.81698,4.27667,2.55117,26.61115,12.60888,25.32807,12.30765,28.32769,13.33691,25.95352,12.11256,27.5363,12.98998,20.0,0.89874,191.237,203.28,0
sarp-60-30-C-1V3,90,3.33333,26.93,12.14844,0.52222,0.47778,27.80333,12.47457,25.18333,11.26709,24.75613,11.9412,25.55524,12.30197,24.59417,11.7729,24.84704,12.28,24.67846,11.94492,20.0,0.9002,0,1165.52,2045.811
sarp-60-30-C-2V3,90,3.33333,26.34444,13.12854,0.54444,0.45556,27.37833,13.48027,24.27667,12.13369,26.16863,12.46296,24.9702,11.99687,27.6638,13.0125,26.23852,12.05113,27.1887,12.71789,20.0,0.91614,1096.59,1112.33,2006.041
sarp-8-4-A-1,12,2.66667,4.65833,1.90677,0.58333,0.41667,4.3375,1.32941,5.3,2.59904,11.6,5.35157,13.76429,5.64745,9.15417,5.46755,14.36667,5.2999,10.89167,5.94392,68.0,0.70494,24.764,24.258,24.764
sarp-8-4-A-2,12,2.66667,4.19167,2.01968,0.5,0.5,3.1125,1.13956,6.35,1.62865,13.21481,5.57472,17.3625,6.88884,12.04583,5.84444,12.95833,4.83364,12.35,5.54479,70.375,0.63048,23.314,21.629,23.314
sarp-8-4-B-1,12,2.66667,7.51667,3.26569,0.66667,0.33333,6.0,1.1811,10.55,3.9246,11.7,4.28093,8.83,3.40442,12.01667,5.29171,12.36667,6.32447,12.13333,5.65936,57.45833,0.65205,49.126,47.562,49.126
sarp-8-4-B-2,12,2.66667,5.71667,2.981,0.5,0.5,4.05,1.76494,9.05,1.93972,9.74444,4.72388,18.78125,6.3384,12.02917,6.14563,16.15833,6.60145,13.40556,6.59503,50.875,0.5904,35.208,34.518,35.208
sarp-8-4-C-1,12,2.66667,13.275,3.46389,0.41667,0.58333,12.4375,3.10481,14.95,3.53659,10.86296,5.37244,14.39,4.97844,11.72917,5.77931,13.60833,5.49264,12.35556,5.75396,42.45833,0.68337,91.847,88.167,91.847
sarp-8-4-C-2,12,2.66667,18.075,4.2034,0.33333,0.66667,17.225,4.85843,19.775,1.20908,14.05714,6.16299,12.07895,6.0298,11.375,4.85191,11.775,5.41912,11.50833,5.05159,49.20833,0.7206,106.283,104.857,106.283
sfsarp-10-5-1,15,3.33333,3.9998,5.601,0.8,0.2,3.4581,5.18209,5.0832,6.21649,6.4978,6.59378,10.0123,8.82945,5.616,2.08779,8.6596,3.88105,6.63053,3.15995,58.83333,0.68708,44.8316,44.0197,44.83166
sfsarp-10-5-2,15,3.33333,3.15613,4.49088,0.73333,0.26667,3.9186,5.28495,1.6312,1.07456,6.72227,6.99878,3.2177,2.12393,6.6641,4.30036,6.1688,1.783,6.499,3.66646,62.6,0.70267,42.5924,42.3744,42.5924
sfsarp-10-5-3,15,3.33333,1.6444,1.28267,0.53333,0.46667,1.3835,1.33535,2.1662,0.98029,5.54944,7.75315,5.50188,6.35907,6.3978,3.35866,4.45,2.1199,5.74853,3.1403,46.36667,0.70433,37.891,37.8795,37.89101
sfsarp-10-5-4,15,3.33333,4.5134,10.39391,0.86667,0.13333,2.0232,2.4629,9.4938,16.57595,3.592,2.35719,15.25296,17.78803,5.4112,1.99735,12.6502,12.53246,7.8242,8.16449,76.06667,0.72466,44.0625,42.2496,44.06247
sfsarp-10-5-5,15,3.33333,2.11293,2.69314,0.6,0.4,2.5012,3.10066,1.3364,1.27524,7.48926,6.95439,7.26555,6.36078,7.7557,6.06944,5.573,1.72726,7.02813,5.15867,42.2,0.70433,22.6781,22.6781,22.678
sfsarp-12-6-1,18,4.0,2.43511,5.3665,0.88889,0.11111,3.21442,6.42285,0.8765,0.49815,6.00902,6.56398,4.32158,6.05766,7.02058,2.59637,6.40667,1.74124,6.81594,2.364,66.25,0.81091,50.8962,49.5162,50.89619
sfsarp-12-6-2,18,4.0,3.75228,6.42307,0.83333,0.16667,5.10392,7.45174,1.049,1.32245,7.53075,6.94571,8.20035,7.49791,7.83417,3.71576,5.62033,4.62408,7.09622,4.17385,63.69444,0.7207,63.6379,60.7965,63.6379
sfsarp-12-6-3,18,4.0,3.80556,6.70801,0.83333,0.16667,2.95858,4.65554,5.4995,9.34558,6.64565,6.7639,9.7185,10.26488,4.9475,2.37782,7.90817,5.6283,5.93439,4.03442,70.61111,0.69726,59.8142,59.8008,59.81415
sfsarp-12-6-4,18,4.0,3.53211,4.92875,0.72222,0.27778,4.30125,5.67707,1.99383,2.20685,4.50997,4.3668,8.34026,7.90471,7.57625,3.71896,7.57767,3.8677,7.57672,3.7692,56.36111,0.73316,53.573,52.7533,53.573
sfsarp-12-6-5,18,4.0,1.88439,2.44708,0.72222,0.27778,2.13658,2.90247,1.38,0.85692,5.51103,5.60708,3.68304,2.07723,6.36058,3.10393,5.53517,2.38201,6.08544,2.90958,49.63889,0.73594,46.1559,43.9797,46.15588
sfsarp-16-8-1,24,4.0,1.33358,1.58674,0.58333,0.41667,1.412,1.66339,1.17675,1.40804,3.69392,2.19498,4.14824,2.22192,6.165,1.82969,6.94075,1.42844,6.42358,1.7452,61.91667,0.71823,63.5753,59.9537,63.57524
sfsarp-16-8-1V1,24,4.0,1.33358,1.58674,0.58333,0.41667,1.412,1.66339,1.17675,1.40804,3.69392,2.19498,4.14824,2.22192,6.165,1.82969,6.94075,1.42844,6.42358,1.7452,20.0,0.71823,61.4206,59.249,61.4206
sfsarp-16-8-2,24,5.33333,3.21412,5.24283,0.79167,0.20833,4.15912,6.15965,1.32412,1.10493,5.74088,6.47511,3.03564,1.89126,7.44981,3.5798,5.5555,1.74403,6.81838,3.21786,60.66667,0.83365,74.8261,72.6614,74.8261
sfsarp-16-8-2V1,24,5.33333,3.21412,5.24283,0.79167,0.20833,4.15912,6.15965,1.32412,1.10493,5.74088,6.47511,3.03564,1.89126,7.44981,3.5798,5.5555,1.74403,6.81838,3.21786,20.0,0.83365,72.7603,71.0458,72.7602
sfsarp-16-8-3,24,5.33333,3.56396,5.82122,0.83333,0.16667,4.88381,6.72758,0.92425,0.82879,7.87267,8.02404,5.21556,6.62823,6.43112,3.96553,5.31925,1.36953,6.0605,3.37395,60.97917,0.78668,95.3769,92.0856,95.37692
sfsarp-16-8-3V1,24,5.33333,3.56396,5.82122,0.83333,0.16667,4.88381,6.72758,0.92425,0.82879,7.87267,8.02404,5.21556,6.62823,6.43112,3.96553,5.31925,1.36953,6.0605,3.37395,20.0,0.78668,93.1652,90.1812,93.16524
sfsarp-16-8-4,24,5.33333,2.0625,3.61101,0.625,0.375,2.63938,4.20784,0.90875,1.30749,3.65672,3.98769,2.88882,1.6688,5.448,3.11923,5.31175,1.89723,5.40258,2.77315,68.58333,0.77437,73.3792,71.9633,73.37916
sfsarp-16-8-4V1,24,5.33333,2.0625,3.61101,0.625,0.375,2.63938,4.20784,0.90875,1.30749,3.65672,3.98769,2.88882,1.6688,5.448,3.11923,5.31175,1.89723,5.40258,2.77315,20.0,0.77437,71.2935,70.4227,71.29352
sfsarp-16-8-5,24,5.33333,1.57171,2.0438,0.75,0.25,1.64787,2.03975,1.41938,2.04337,3.20155,1.89389,6.65003,7.56819,5.85056,2.13396,6.98825,3.82764,6.22979,2.8648,55.58333,0.76407,70.8077,70.1578,70.80773
sfsarp-16-8-5V1,24,5.33333,1.57171,2.0438,0.75,0.25,1.64787,2.03975,1.41938,2.04337,3.20155,1.89389,6.65003,7.56819,5.85056,2.13396,6.98825,3.82764,6.22979,2.8648,20.0,0.76407,69.7438,69.7033,69.74375
sfsarp-20-10-1,30,5.0,3.21467,6.79617,0.83333,0.16667,4.17645,8.06142,1.2911,1.74368,6.7088,7.23925,6.34565,7.24548,7.20215,5.35204,6.318,3.54557,6.90743,4.84358,68.46667,0.81427,99.2073,98.0458,99.2078
sfsarp-20-10-1V1,30,5.0,3.21467,6.79617,0.83333,0.16667,4.17645,8.06142,1.2911,1.74368,6.7088,7.23925,6.34565,7.24548,7.20215,5.35204,6.318,3.54557,6.90743,4.84358,20.0,0.81427,94.5986,91.4963,94.599
sfsarp-20-10-2,30,5.0,1.96113,3.08561,0.6,0.4,1.4329,1.24175,3.0176,4.87902,2.82485,1.81913,4.46648,3.94052,5.82075,1.80815,6.3313,3.82717,5.99093,2.66833,46.86667,0.78641,83.7391,82.4222,83.73916
sfsarp-20-10-2V1,30,5.0,1.96113,3.08561,0.6,0.4,1.4329,1.24175,3.0176,4.87902,2.82485,1.81913,4.46648,3.94052,5.82075,1.80815,6.3313,3.82717,5.99093,2.66833,20.0,0.78641,81.9658,81.9658,81.96586
sfsarp-20-10-3,30,6.66667,3.4818,5.61506,0.73333,0.26667,4.20925,6.66045,2.0269,1.63959,8.62279,11.75356,3.68475,1.99806,7.46115,7.17305,5.8249,1.97927,6.91573,6.01686,62.8,0.84138,90.3186,88.5264,90.9451
sfsarp-20-10-3V1,30,6.66667,3.4818,5.61506,0.73333,0.26667,4.20925,6.66045,2.0269,1.63959,8.62279,11.75356,3.68475,1.99806,7.46115,7.17305,5.8249,1.97927,6.91573,6.01686,20.0,0.84138,88.7815,83.9407,88.7811
sfsarp-20-10-4,30,5.0,2.66977,3.75644,0.73333,0.26667,2.3783,4.31429,3.2527,2.14397,6.50452,11.02911,3.09951,2.57282,7.5817,6.70213,5.1391,1.54144,6.7675,5.66247,69.66667,0.79064,87.4599,86.7667,87.68482
sfsarp-20-10-4V1,30,5.0,2.66977,3.75644,0.73333,0.26667,2.3783,4.31429,3.2527,2.14397,6.50452,11.02911,3.09951,2.57282,7.5817,6.70213,5.1391,1.54144,6.7675,5.66247,20.0,0.79064,82.4017,81.3189,82.40172
sfsarp-20-10-5,30,6.66667,2.85347,4.14836,0.73333,0.26667,3.48675,4.8786,1.5869,1.27231,8.13802,7.43619,3.5414,2.19779,7.7794,3.63277,5.6461,1.46626,7.0683,3.24438,52.23333,0.82259,80.8697,80.24,81.0133
sfsarp-20-10-5V1,30,6.66667,2.85347,4.14836,0.73333,0.26667,3.48675,4.8786,1.5869,1.27231,8.13802,7.43619,3.5414,2.19779,7.7794,3.63277,5.6461,1.46626,7.0683,3.24438,20.0,0.82259,79.1429,78.4437,79.1429
sfsarp-30-15-1,45,6.0,3.28662,6.05693,0.8,0.2,4.13093,7.17133,1.598,1.7106,8.09131,10.64623,3.45132,3.33814,7.29097,6.99715,6.3866,3.12983,6.98951,6.00725,66.1,0.8689,145.475,140.961,0
sfsarp-30-15-1V1,45,6.0,3.28662,6.05693,0.8,0.2,4.13093,7.17133,1.598,1.7106,8.09131,10.64623,3.45132,3.33814,7.29097,6.99715,6.3866,3.12983,6.98951,6.00725,20.0,0.8689,144.758,139.896,144.7581
sfsarp-30-15-2,45,5.0,1.52856,2.06892,0.64444,0.35556,1.67493,2.32455,1.2358,1.38043,3.60387,3.57391,4.13441,4.30208,5.98173,2.26695,5.83213,2.82681,5.93187,2.46873,65.18889,0.81406,126.434,126.14,0
sfsarp-30-15-2V1,45,5.0,1.52856,2.06892,0.64444,0.35556,1.67493,2.32455,1.2358,1.38043,3.60387,3.57391,4.13441,4.30208,5.98173,2.26695,5.83213,2.82681,5.93187,2.46873,20.0,0.81406,124.76,122.969,124.95616
sfsarp-30-15-3,45,5.0,3.28518,5.65136,0.75556,0.24444,3.96733,6.60505,1.92087,2.40174,7.95109,10.80699,5.58228,5.20738,7.2263,6.07028,5.5482,2.05079,6.66693,5.15687,59.42222,0.8475,165.018,164.812,0
sfsarp-30-15-3V1,45,5.0,3.28518,5.65136,0.75556,0.24444,3.96733,6.60505,1.92087,2.40174,7.95109,10.80699,5.58228,5.20738,7.2263,6.07028,5.5482,2.05079,6.66693,5.15687,20.0,0.8475,162.717,160.7,162.71685
sfsarp-30-15-4,45,6.0,3.36389,6.10017,0.84444,0.15556,4.46967,7.17702,1.15233,1.13169,7.91256,8.50508,4.36547,5.3542,7.85803,4.65333,5.66407,1.82662,7.12671,4.07646,61.86667,0.8706,135.546,144.086,0
sfsarp-30-15-4V1,45,6.0,3.36389,6.10017,0.84444,0.15556,4.46967,7.17702,1.15233,1.13169,7.91256,8.50508,4.36547,5.3542,7.85803,4.65333,5.66407,1.82662,7.12671,4.07646,20.0,0.8706,145.114,143.657,145.4574
sfsarp-30-15-5,45,6.0,1.27347,1.35359,0.62222,0.37778,1.05387,1.31723,1.71267,1.31799,2.92237,1.91476,3.44315,1.98398,5.5998,1.62261,5.36373,2.17363,5.52111,1.82825,49.15556,0.86297,135.291,135.13,0
sfsarp-30-15-5V1,45,6.0,1.27347,1.35359,0.62222,0.37778,1.05387,1.31723,1.71267,1.31799,2.92237,1.91476,3.44315,1.98398,5.5998,1.62261,5.36373,2.17363,5.52111,1.82825,20.0,0.86297,135.537,134.201,135.5371
