Instances,feature_V,feature_avgReqPerVehicle,feature_avgReqTripLen,feature_avgPassTripLen,feature_avgParcTripLen,feature_avgPassToParcTrip,feature_avgPassToPassTrip,feature_avgDepotToReqDist,feature_entropyPass,feature_entropyParc,feature_entropyReq,feature_depotIsolationRatio,feature_requestSpreadRadius,feature_convexHullArea,feature_avgTWLength,feature_TWEntropy,algo_standardMIP,algo_FIP,algo_BCP,algo_heuristic
sarp-20-10-C-2,30,6,12.60333,11.235,15.34,11.07576,12.555,13.52333,1,1,1.01397,1.07045,31.7,444.37567,46.48333,0.81151,0,219.767,226.713,226.713
sarp-16-8-B-1V2,24,4,8.4125,7.1125,11.0125,26.554,24.12727,24.97222,1,1,1,1.05896,59.1,1600.39853,47.72917,0.77333,73.719,62.857,73.719,73.719
sarp-16-8-B-1V1,24,8,4.4875,3.35,6.7625,13.36667,12.19304,13.61389,1,1,1.01851,1.1788,31.5,456.06355,20,0.78269,43.435,42.449,43.435,42.035
sarp-8-4-C-1,12,4,13.275,12.4375,14.95,14.39,10.86296,12.35556,1,1,1,1.32145,25.4,314.69863,42.45833,0.68337,91.847,88.167,91.847,91.847
sarp-30-15-C-1V2,45,4.5,25.64889,24.21,28.52667,25.9285,27.40186,26.53111,0.94053,1.03533,0.95613,1.03331,62.2,1858.71443,62.6,0.88593,0,555.088,582.826,582.826
sarp-50-25-A-1V3,75,6.25,2.98267,2.472,4.004,27.42595,25.65117,24.79989,1.01927,0.98277,1.01599,0.93815,67.1,2047.40076,20,0.91054,124.509,117.979,124.509,124.509
sfsarp-40-20-5V1,60,8.57143,3.64082,3.99865,2.92515,4.56431,6.53673,7.55488,0.98235,1.0364,1.03989,1.10553,38.757,551.39369,20,0.88916,0,205.095,211.56391,211.564
sfsarp-16-8-5,24,8,1.57171,1.64787,1.41938,6.65003,3.20155,6.22979,1.03448,1,1,2.03548,25.917,72.93522,55.58333,0.76407,70.8077,70.1578,70.80773,70.808
ghsarp-8-4-4,12,4,3.5305,2.844,4.9035,10.55486,7.68948,10.524,0.91667,1,0.95351,1.60672,24.86,140.23297,56.375,0.65205,20.183,17.412,20.183,20.183
sfsarp-20-10-1V1,30,7.5,3.21467,4.17645,1.2911,6.34565,6.7088,6.90743,0.99084,1,1.00579,1.00151,38.786,294.40569,20,0.81427,94.5986,91.4963,94.599,94.599
sarp-20-10-C-1V1,30,7.5,11.15667,11.44,10.59,11.76104,11.88956,12.08667,0.95372,0.93979,0.94565,1.04052,31,460.55216,20,0.84725,175.762,161.531,175.762,175.762
sarp-30-15-C-1,45,7.5,13.10444,13.69667,11.92,12.54902,12.35192,13.17111,1.01377,1,1.01995,1.0041,31.2,476.52572,58.67778,0.83821,0,355.349,0,363.445
sfsarp-6-3-5,9,3,5.25211,3.05083,9.65467,18.428,6.10086,8.77333,1,1,1.07539,1.27677,29.743,256.51631,71.94444,0.57987,25.2631,25.2631,25.26318,25.263
sarp-50-25-C-1V2,75,4.6875,26.48133,25.574,28.296,25.44515,24.20308,27.8805,1,1,0.9896,1.0928,66,1934.41912,54.78667,0.90507,0,1124.73,0,1178.179
sarp-6-3-A-1,9,3,6.51111,5.4,8.73333,16.1625,11.94286,13.17407,1,1,1,1.22178,29.5,344.37155,40.16667,0.63739,28.05,28.05,28.05,28.05
sarp-20-10-C-2V2,30,3.75,26.88667,29.375,21.91,29.69844,25.07576,29.265,1.05821,1,1.01934,1.10283,58.4,1666.65182,52.3,0.7935,385.406,378.874,385.406,385.406
sarp-16-8-A-1V1,24,8,2.68333,2.53125,2.9875,14.55938,11.31913,15.30972,1,1,1,1.37521,31.5,455.14877,20,0.81543,17.907,17.493,17.907,17.907
sarp-20-10-B-1V2,30,5,8.19667,6.46,11.67,23.3125,22.95556,24.82056,1.02369,0.93979,0.98623,1.07404,52.5,1504.48917,49.45,0.77944,106.206,90.343,106.206,106.206
sfsarp-6-3-2,9,3,1.73533,1.90683,1.39233,4.4414,4.4902,5.69478,1,1,1,2.46043,11.219,34.81847,58.22222,0.62951,26.1791,26.1791,26.17913,26.179
sfsarp-30-15-2,45,7.5,1.52856,1.67493,1.2358,4.13441,3.60387,5.93187,0.99439,1,1.01293,1.60834,25.003,107.05855,65.18889,0.81406,0,126.14,0,127.387
sfsarp-50-25-1,75,9.375,3.52728,3.66026,3.26132,5.6057,6.7211,7.01007,0.96641,1.08218,1.02464,0.85637,37.414,569.66258,55.20667,0.91661,0,267.92,0,270.933
sarp-30-15-B-2V1,45,9,3.50444,2.81,4.89333,13.19833,12.29108,11.788,1,0.96587,0.97222,0.93198,30.9,483.8608,20,0.88184,96.122,96.122,96.122,96.122
sarp-50-25-A-2V3,75,6.25,3.4,2.572,5.056,24.32281,25.62283,24.93178,1,1,1.00434,0.97236,63.3,1859.16581,20,0.91645,106.48,86.181,106.48,106.48
sarp-60-30-C-1V3,90,5,26.93,27.80333,25.18333,25.55524,24.75613,24.67846,1.00574,1.01377,1.01915,0.95611,65,1944.00894,20,0.9002,0,1165.52,2045.811,1278.431
sarp-40-20-C-1,60,10,12.62,11.7225,14.415,11.66265,12.62687,12.52944,1,1,0.96931,0.99206,33.6,538.18193,49.71667,0.92519,0,464.642,0,487.32
sarp-20-10-A-2V2,30,5,5.38667,4.75,6.66,25.59767,28.57267,26.52056,1,1.06406,1.02793,0.93231,58.7,1695.46562,49.53333,0.79127,10.648,10.648,10.648,10.648
sfsarp-20-10-2,30,7.5,1.96113,1.4329,3.0176,4.46648,2.82485,5.99093,0.99038,1,0.99442,2.23497,25.829,91.35266,46.86667,0.78641,83.7391,82.4222,83.73916,83.739
sarp-20-10-B-2V1,30,10,4.12,3.345,5.67,10.86571,11.86304,11.79222,1.02369,1,1.01377,1.00942,27.8,423.45693,20,0.84642,59.45,52.126,59.45,59.45
ghsarp-8-4-2,12,4,4.47083,4.73975,3.933,6.43483,6.64304,9.94133,0.91667,1,0.95351,1.53081,18.08,123.02897,44.25,0.71469,36.529,36.019,36.529,36.529
sfsarp-30-15-2V1,45,7.5,1.52856,1.67493,1.2358,4.13441,3.60387,5.93187,0.99439,1,1.01293,1.60834,25.003,107.05855,20,0.81406,0,122.969,124.95616,124.956
sarp-8-4-A-2,12,4,4.19167,3.1125,6.35,17.3625,13.21481,12.35,1,1,1,1.04122,31.1,354.15712,70.375,0.63048,23.314,21.629,23.314,23.314
sarp-30-15-C-1V1,45,7.5,13.10444,13.69667,11.92,12.54902,12.35192,13.17111,1.01377,1,1.01995,1.0041,31.2,476.52572,20,0.83821,0,308.141,339.467,339.467
sfsarp-40-20-3,60,8.57143,2.14895,2.52755,1.39175,4.26283,5.80302,6.4947,0.93257,0.94767,0.94927,1.21628,46.276,219.76208,62.31667,0.84563,0,176.861,0,183.644
ghsarp-8-4-0,12,4,4.02167,4.105,3.855,9.72547,8.06059,16.12417,0.91667,1,0.95351,2.77469,26.408,185.81818,54.16667,0.746,23.667,22.314,23.667,23.667
sarp-40-20-A-2,60,10,1.91667,1.4325,2.885,13.21223,12.62493,11.95667,1.00948,1,1,0.97299,32.9,515.6333,52.15833,0.87902,0,84.727,0,95.18
sarp-40-20-B-1V2,60,5,4.82833,4.34,5.805,25.10504,26.88619,25.90583,0.99052,1.04852,1.00581,0.96462,64.5,1884.06265,60.79167,0.87792,0,131.102,0,134.11
ghsarp-12-6-2,18,6,4.03878,3.9225,4.27133,7.46133,7.70545,9.74978,1,1.14804,1.02738,1.25752,20.14,190.28781,63,0.81091,59.895,59.895,59.895,59.895
sfsarp-16-8-2,24,8,3.21412,4.15912,1.32412,3.03564,5.74088,6.81838,0.96774,1,1,1.16494,26.07,82.02811,60.66667,0.83365,74.8261,72.6614,74.8261,74.826
sarp-50-25-C-1V3,75,4.6875,26.48133,25.574,28.296,25.44515,24.20308,27.8805,1,1,0.9896,1.0928,66,1934.41912,20,0.90507,0,941.136,1058.993,1058.993
sfsarp-40-20-1,60,8.57143,3.51397,3.61945,3.303,5.93868,7.77935,7.60858,0.9661,1.0837,1.00656,0.95214,47.89,688.96174,51.19167,0.90604,0,177.272,0,183.086
sarp-16-8-A-2,24,8,3.1375,2.43125,4.55,12.5614,12.90982,13.17222,0.96875,1,0.98182,1.1276,28,410.7863,55.16667,0.78308,27.944,27.79,27.944,27.944
sarp-6-3-B-1,9,3,10.45556,8.51667,14.33333,10.2,9.10714,14.04815,1,1,1,1.44808,28.8,329.22241,51.16667,0.62951,49.237,49.237,49.237,49.237
ghsarp-8-4-1,12,4,3.70133,3.65,3.804,9.55821,8.82926,8.04217,1,1,1,0.87053,24.472,116.26603,70.95833,0.69312,35.768,35.562,35.768,35.768
sarp-12-6-A-2,18,6,3.4,2.79167,4.61667,10.55313,12.27778,14.38704,1.04876,1,1.02738,1.20649,29,406.38267,82.75,0.6779,33.236,32.124,33.236,33.236
sfsarp-20-10-2V1,30,7.5,1.96113,1.4329,3.0176,4.46648,2.82485,5.99093,0.99038,1,0.99442,2.23497,25.829,91.35266,20,0.78641,81.9658,81.9658,81.96586,81.966
sfsarp-50-25-4,75,8.33333,2.10701,1.88846,2.54412,5.244,3.84655,6.46556,1.02035,1.06536,1.04072,1.55303,30.51,311.78476,59.60667,0.8801,0,223.915,0,234.844
sfsarp-12-6-3,18,6,3.80556,2.95858,5.4995,9.7185,6.64565,5.93439,0.95351,1,0.97072,1.71469,28.112,234.58289,70.61111,0.69726,59.8142,59.8008,59.81415,59.741
sarp-8-4-C-2,12,4,18.075,17.225,19.775,12.07895,14.05714,11.50833,1,1,1,0.89656,31.1,369.83065,49.20833,0.7206,106.283,104.857,106.283,106.283
sarp-10-5-A-2,15,5,3.2,2.97,3.66,13.47059,13.15111,10.97333,1,1,1,0.95861,28.3,353.47639,48.86667,0.75444,19.246,19.246,19.246,19.246
sarp-50-25-C-1V1,75,8.33333,13.144,13.414,12.604,13.71397,12.95322,13.46563,1.00729,0.98277,1,1.08971,33.5,527.28292,20,0.89687,0,572.526,0,616.732
sarp-20-10-A-1,30,10,2.83,2.47,3.55,12.07629,13.30714,13.04111,1,1,0.97283,1.04909,32.5,506.31849,59.08333,0.80265,27.998,18.867,27.998,27.998
sarp-50-25-B-1V3,75,6.25,5.03333,4.188,6.724,26.62333,25.64559,26.88456,1.00719,1.01753,1.00437,1.04322,66,2018.30116,20,0.90697,168.053,150.976,168.053,168.053
sarp-40-20-A-2V2,60,6,3.32,2.76,4.44,24.88667,26.10333,27.48333,1.01915,0.97686,1.01161,1.04503,59.9,1846.06184,60.34167,0.8829,0,76.468,0,87.576
sfsarp-20-10-3,30,10,3.4818,4.20925,2.0269,3.68475,8.62279,6.91573,1.11568,0.97227,1.15391,0.85407,48.32,211.17567,62.8,0.84138,90.9456,88.5264,90.9451,90.945
sarp-40-20-B-1,60,10,2.96667,2.525,3.85,11.93469,12.99728,13.85306,1.00967,1,0.99423,1.11263,31.5,491.1477,68.06667,0.89619,0,132.062,0,135.945
sarp-16-8-A-2V3,24,4,7.01667,5.41875,10.2125,23.53636,23.62095,23.10903,1.03226,1,1.01851,1.04248,56,1520.97046,20,0.79977,51.945,50.013,51.945,51.945
ghsarp-6-3-3,9,3,5.02467,5.629,3.816,8.3156,10.15853,5.62733,1,1,1,0.7737,20.496,153.44876,79,0.64251,32.129,31.076,32.129,32.129
sfsarp-20-10-5,30,10,2.85347,3.48675,1.5869,3.5414,8.13802,7.0683,1.02426,1.1369,1.0431,1.03954,25.384,104.9716,52.23333,0.82259,0,80.24,81.0133,81.01
sarp-30-15-B-2,45,9,3.50444,2.81,4.89333,13.19833,12.29108,11.788,1,0.96587,0.97222,0.93198,30.9,483.8608,58.2,0.88184,0,103.86,0,105.792
sfsarp-8-4-5,12,4,3.48442,4.21737,2.0185,3.47218,3.90007,6.13583,1,1,1,1.13334,23.298,64.22942,71.25,0.65205,41.7589,40.3775,41.75888,41.759
sarp-30-15-C-2V2,45,5.625,25.5,25.93,24.64,23.98057,23.01103,24.86194,1.01377,1.03533,1.01659,0.97825,64,1951.61271,66.33333,0.8273,0,492.687,584.028,583.21
sarp-16-8-B-2,24,8,4.62917,3.425,7.0375,13.59167,12.16757,14.075,0.96875,1,0.98182,1.21872,28,421.95317,49.6875,0.7465,42.241,34.543,42.241,42.241
sfsarp-30-15-5V1,45,9,1.27347,1.05387,1.71267,3.44315,2.92237,5.52111,0.99473,1,1.0053,1.88273,10.662,42.79368,20,0.86297,135.537,134.201,135.5371,135.537
sarp-10-5-C-1,15,5,15.17333,16.22,13.08,11.28696,13.02045,13.25333,0.93979,1,0.93174,1.18427,30.2,376.85054,41.06667,0.75444,121.628,121.628,121.628,121.628
sarp-40-20-C-1V3,60,5,23.36667,24.0525,21.995,21.04571,24.44687,27.79486,1.00948,1,1.01148,1.0743,65.7,1895.56712,20,0.89273,0,591.731,703.36,703.36
ghsarp-6-3-4,9,3,5.75067,6.91833,3.41533,8.58,11.14467,6.83933,1,1,1,0.78551,20.894,136.62219,52.11111,0.62951,31.299,31.299,31.299,31.299
sarp-50-25-C-2V2,75,4.6875,25.64667,26.83,23.28,24.37185,27.10789,25.32467,1.02188,1.01753,1.01324,0.92404,66.9,1962.80964,65.06,0.90337,0,1056.44,0,1133.241
sfsarp-50-25-5,75,8.33333,5.58419,6.36262,4.02732,7.6736,9.88696,8.17977,0.99662,1.09846,1.04299,0.96451,49.935,221.47713,55.42,0.87463,0,345.571,0,356.24
sfsarp-30-15-3,45,7.5,3.28518,3.96733,1.92087,5.58228,7.95109,6.66693,1.03509,1.09539,1.08328,0.89024,48.973,199.93504,59.42222,0.8475,0,164.812,0,167.24
sfsarp-40-20-1V1,60,8.57143,3.51397,3.61945,3.303,5.93868,7.77935,7.60858,0.9661,1.0837,1.00656,0.95214,47.89,688.96174,20,0.90604,0,174.356,181.5435,181.459
sarp-50-25-B-2V1,75,9.375,2.45467,1.994,3.376,12.20825,13.66801,14.35467,0.99286,1,0.98258,1.04332,32,515.29697,20,0.92451,0,163.258,0,175.405
sarp-20-10-A-1V2,30,5,4.77333,3.755,6.81,22.86759,25.01829,27.07611,1,1,1,1.14152,53.5,1507.07112,62.51667,0.83901,25.71,16.113,25.71,25.71
sarp-20-10-C-1,30,7.5,11.15667,11.44,10.59,11.76104,11.88956,12.08667,0.95372,0.93979,0.94565,1.04052,31,460.55216,64.98333,0.84725,196.249,189.303,196.249,196.249
sfsarp-30-15-4V1,45,9,3.36389,4.46967,1.15233,4.36547,7.91256,7.12671,1.01095,0.92396,1.00666,0.89148,37.392,308.31297,20,0.8706,0,143.657,145.4574,145.457
sarp-12-6-B-1,18,6,5.12222,4.18333,7,11.59333,13.87541,16.41111,1,1,1,1.20994,30.1,399.63723,68.61111,0.74434,43.445,42.157,43.445,43.445
sarp-50-25-A-2,75,9.375,1.79733,1.462,2.468,12.96567,13.73092,14.13717,1.02188,0.98247,1,1.00993,32.9,531.42142,63.74,0.9126,0,138.532,0,147.995
sarp-40-20-C-2V1,60,7.5,12.80667,12.64,13.14,12.81551,13.09445,12.3525,1,1.02369,0.99426,0.96013,31.1,476.42826,20,0.89927,0,423.884,473.228,470.974
sarp-12-6-C-2,18,6,13.56667,13.16667,14.36667,11.26579,12.69683,10.99815,1,1,0.94671,0.9193,28.7,405.12526,50.66667,0.71558,132.7,131.504,132.7,132.7
sfsarp-6-3-1,9,3,2.42433,2.909,1.455,5.75488,7.0186,6.91633,1,1,1,1.04387,23.44,70.1703,61.5,0.62951,22.2917,21.8786,22.29171,22.292
sfsarp-8-4-3,12,4,2.19633,2.3465,1.896,4.41047,7.06037,6.59442,1,1,1.04876,0.97012,20.002,52.04202,52.29167,0.68337,32.3762,32.1356,32.37616,32.376
sfsarp-10-5-4,15,5,4.5134,2.0232,9.4938,15.25296,3.592,7.8242,1.06406,1.20812,1.20575,2.7609,45.748,189.00363,76.06667,0.72466,44.0625,42.2496,44.06247,44.062
sarp-50-25-B-2V2,75,6.25,5.184,4.128,7.296,24.38147,26.64177,23.731,1.01448,1,1.00436,0.90215,63.3,1888.74728,58.02,0.91528,0,179.828,0,191.786
sarp-60-30-B-1V3,90,5,4.51667,3.77833,5.99333,25.41988,24.62055,26.38006,1.02336,0.95924,1.00355,1.06985,65,1942.95795,20,0.91147,0,236.971,352.025,247.743
sarp-60-30-A-1V3,90,5,2.83556,2.41833,3.67,26.17525,24.78376,24.24907,1.00797,1.01397,1.00133,0.98757,65,1886.59302,20,0.92341,178.143,163.371,244.889,178.143
sarp-20-10-C-1V2,30,4.28571,26.44,26.285,26.75,22.74722,24.50867,23.73,1,0.93979,0.97283,0.94754,52.5,1491.0975,72.05,0.81983,0,395.513,435.072,435.072
sarp-50-25-C-2V1,75,7.5,13.72267,13.844,13.48,13.03548,13.25713,13.46973,0.98562,0.98277,0.99561,1.04678,32.6,501.74756,20,0.90444,0,604.593,0,658.204
sfsarp-10-5-1,15,5,3.9998,3.4581,5.0832,10.0123,6.4978,6.63053,1.06406,1,1.03533,2.19371,25.898,85.0834,58.83333,0.68708,44.8316,44.0197,44.83166,44.832
sfsarp-40-20-4V1,60,10,2.93253,3.71855,1.3605,6.3659,7.31509,6.86295,1.01964,1.06862,1.06496,0.98575,37.414,347.13341,20,0.89624,0,181.298,185.5776,185.42
ghsarp-10-5-1,15,5,4.5948,4.3136,5.1572,11.69287,10.42231,8.30333,0.93979,1,0.96587,0.8832,25.694,217.97284,38.86667,0.74971,44.274,41.225,44.274,44.274
sarp-30-15-B-2V3,45,5,6.80667,5.66667,9.08667,24.11461,26.98193,25.62494,1,1.03533,1.00823,0.98742,63.2,1868.23224,20,0.85748,114.38,107.836,114.38,114.38
sarp-50-25-C-2,75,7.5,13.72267,13.844,13.48,13.03548,13.25713,13.46973,0.98562,0.98277,0.99561,1.04678,32.6,501.74756,56.49333,0.90444,0,650.441,0,685.942
sarp-20-10-A-1V1,30,10,2.83,2.47,3.55,12.07629,13.30714,13.04111,1,1,0.97283,1.04909,32.5,506.31849,20,0.80265,25.928,17.364,25.928,25.928
sfsarp-6-3-4,9,3,2.742,3.85483,0.51633,7.64022,1.53671,6.44411,1,1,1,1.33644,23.857,30.55999,52.16667,0.62951,25.9656,25.9656,25.96557,25.966
sarp-40-20-C-2V2,60,6,25.315,22.445,31.055,25.42,25.80729,28.25317,1,0.96737,0.9805,1.0975,64.2,1932.49675,60.05833,0.91649,0,731.169,0,790.535
sarp-8-4-A-1,12,4,4.65833,4.3375,5.3,13.76429,11.6,10.89167,1,1,1,0.9889,25.4,320.10451,68,0.70494,24.764,24.258,24.764,24.764
sfsarp-50-25-2,75,9.375,2.05757,2.07882,2.01508,5.3331,4.99378,6.55007,1.09806,0.95518,1.07034,1.38309,28.95,139.53647,59.37333,0.88113,0,242.242,0,246.634
sarp-16-8-C-2V2,24,4,24.375,23.71875,25.6875,24.80556,23.96842,29.34514,1,1,1,1.34,58.6,1582.62236,64.125,0.79682,266.612,247.798,266.612,266.612
sarp-50-25-B-1,75,9.375,2.60533,2.24,3.336,12.3273,12.39679,13.29067,1,0.98277,0.98522,1.08403,33.5,532.63043,59.54667,0.90371,0,186.675,0,195.185
